APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
1100062,PX30520303FCEBL,Perspex Frost 3mm Electric Blue (S2 2T69) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Electric Blue,,,,,,
1100063,,Perspex Frost 3mm Electric Blue (S2 2T69) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Electric Blue,,,,,,
1100064,PX30520303FCEME,Perspex Frost 3mm Emerald Green (S2 6T59) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Emerald Green,,,,,,
1100065,,Perspex Frost 3mm Emerald Green (S2 6T59) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Emerald Green,,,,,,
1100086,PX30520303FCSAP,Perspex Frost 3mm Sapphire Blue (S2 7T28) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Sapphire Blue,,,,,,
1100087,,Perspex Frost 3mm Sapphire Blue (S2 7T28) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Sapphire Blue,,,,,,
1100090,PX30520303FCVIA,Perspex Frost 3mm Violet Aurora (S2 7T58) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Violet Aurora,,,,,,
1100091,,Perspex Frost 3mm Violet Aurora (S2 7T58) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Violet Aurora,,,,,,
1100018,PX30520303FLAG,Perspex Fluroo 3mm Acid Green (6T66) 3050x2030x3 mm,Perspex,1.00,1.00,383.77,,,,,,11,383.77,,,Sheet,Each,Thickness,3 mm,595.00,3050.00,2030.00,3.00,,Sheet,Acid Green,,,,,,
1100019,,Perspex Fluroo 3mm Acid Green (6T66) 2030x1525x3 mm,Perspex,1.00,1.00,201.48,,,,,,11,201.48,,,Sheet,Each,Thickness,3 mm,336.00,2030.00,1525.00,3.00,,Sheet,Acid Green,,,,,,
