"APE Code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
1200012,"ATI127.120","Acrylic Tube","Tube Extruded",1,1,105,,,,,,12,105,,,"Tube","Each",,,,1830,127,127,3.2,"Tube","Clear",,,,,,
1200013,"ARM003","Acrylic Rod ","Rod Extruded",1,1,2.16,,,,,,12,2.16,,,"Rod","Each",,,8.3,2000,,,3,"Rod","Clear",,,,,,
1200014,"ARM005","Acrylic Rod ","Rod Extruded",1,1,3.26,,,,,,12,3.26,,,"Rod","Each",,,10.5,2000,,,5,"Rod","Clear",,,,,,
1200015,"ARM006","Acrylic Rod ","Rod Extruded",1,1,4.32,,,,,,12,4.32,,,"Rod","Each",,,12.7,2000,,,6,"Rod","Clear",,,,,,
1200016,"ARM008","Acrylic Rod ","Rod Extruded",1,1,6.51,,,,,,12,6.51,,,"Rod","Each",,,,2000,,,8,"Rod","Clear",,,,,,
1200017,"ARM010","Acrylic Rod ","Rod Extruded",1,1,8.95,,,,,,12,8.95,,,"Rod","Each",,,17.9,2000,,,10,"Rod","Clear",,,,,,
1200018,"ARM012","Acrylic Rod ","Rod Extruded",1,1,10.38,,,,,,12,10.38,,,"Rod","Each",,,20.8,2000,,,12,"Rod","Clear",,,,,,
1200019,"ARM016","Acrylic Rod ","Rod Extruded",1,1,16.69,,,,,,12,16.69,,,"Rod","Each",,,33.4,2000,,,16,"Rod","Clear",,,,,,
1200020,"ARM019","Acrylic Rod ","Rod Extruded",1,1,20.84,,,,,,12,20.84,,,"Rod","Each",,,36.5,2000,,,19,"Rod","Clear",,,,,,
1200021,"ARM022","Acrylic Rod ","Rod Extruded",1,1,24.09,,,,,,12,24.09,,,"Rod","Each",,,42.2,2000,,,22,"Rod","Clear",,,,,,
1200022,"ARM025","Acrylic Rod ","Rod Extruded",1,1,34.68,,,,,,12,34.68,,,"Rod","Each",,,59,2000,,,25,"Rod","Clear",,,,,,
1200023,"ARM032","Acrylic Rod ","Rod Extruded",1,1,60.87,,,,,,12,60.87,,,"Rod","Each",,,103.5,2000,,,32,"Rod","Clear",,,,,,
1200024,"ARM038","Acrylic Rod ","Rod Extruded",1,1,68.58,,,,,,12,68.58,,,"Rod","Each",,,116.6,2000,,,38,"Rod","Clear",,,,,,
1200025,"ARM045","Acrylic Rod ","Rod Extruded",1,1,130.44,,,,,,12,130.44,,,"Rod","Each",,,215.2,2000,,,45,"Rod","Clear",,,,,,
1200026,"ARM050","Acrylic Rod ","Rod Extruded",1,1,152.99,,,,,,12,152.99,,,"Rod","Each",,,244.8,2000,,,50,"Rod","Clear",,,,,,
1200027,"ARM065","Acrylic Rod ","Rod Extruded",1,1,333.74,,,,,,12,333.74,,,"Rod","Each",,,467.3,2000,,,65,"Rod","Clear",,,,,,
1200028,"ARM075","Acrylic Rod ","Rod Extruded",1,1,350.02,,,,,,12,350.02,,,"Rod","Each",,,490,2000,,,745,"Rod","Clear",,,,,,
1200029,"ARM100","Acrylic Rod ","Rod Extruded",1,1,602.36,,,,,,12,602.36,,,"Rod","Each",,,8113.2,2000,,,100,"Rod","Clear",,,,,,
1200030,"ARM130","Acrylic Rod ","Rod Extruded",1,1,1111.11,,,,,,12,1111.11,,,"Rod","Each",,,1444.5,2000,,,130,"Rod","Clear",,,,,,
1200031,"ARM150","Acrylic Rod ","Rod Extruded",1,1,1444.85,,,,,,12,1444.85,,,"Rod","Each",,,1878.3,2000,,,150,"Rod","Clear",,,,,,
1200032,"ATI2M006.3","Acrylic Tube","Tube Extruded",1,1,4,,,,,,12,4,,,"Tube","Each",,,,2000,6.4,3.2,1.6,"Tube","Clear",,,,,,
1200033,"ATI2M007.4","Acrylic Tube","Tube Extruded",1,1,4.26,,,,,,12,4.26,,,"Tube","Each",,,,2000,7.9,4.8,1.6,"Tube","Clear",,,,,,
1200034,"ATI2M009.6","Acrylic Tube","Tube Extruded",1,1,6.51,,,,,,12,6.51,,,"Tube","Each",,,,2000,9.5,6.4,1.6,"Tube","Clear",,,,,,
1200035,"ATI2M012.9","Acrylic Tube","Tube Extruded",1,1,8.58,,,,,,12,8.58,,,"Tube","Each",,,,2000,12.7,9.5,3.2,"Tube","Clear",,,,,,
1200036,"ATI2M019.12","Acrylic Tube","Tube Extruded",1,1,10.5,,,,,,12,10.5,,,"Tube","Each",,,,2000,19.1,12.7,1.6,"Tube","Clear",,,,,,
1200037,"ATI2M019.15","Acrylic Tube","Tube Extruded",1,1,10.95,,,,,,12,10.95,,,"Tube","Each",,,,2000,19.1,15.9,3.2,"Tube","Clear",,,,,,
1200038,"ATI2M022.15","Acrylic Tube","Tube Extruded",1,1,18.7,,,,,,12,18.7,,,"Tube","Each",,,,2000,22.2,15.9,3.2,"Tube","Clear",,,,,,
1200039,"ATI2M025.19","Acrylic Tube","Tube Extruded",1,1,24.39,,,,,,12,24.39,,,"Tube","Each",,,,2000,25.4,19.1,3.2,"Tube","Clear",,,,,,
1200040,"ATI2M031.25","Acrylic Tube","Tube Extruded",1,1,30.42,,,,,,12,30.42,,,"Tube","Each",,,,2000,31.8,25.4,3.2,"Tube","Clear",,,,,,
1200041,"ATI2M038.31","Acrylic Tube","Tube Extruded",1,1,34.77,,,,,,12,34.77,,,"Tube","Each",,,,2000,38.1,31.8,3.2,"Tube","Clear",,,,,,
1200042,"ATI2M041.34","Acrylic Tube","Tube Extruded",1,1,30.88,,,,,,12,30.88,,,"Tube","Each",,,,2000,41.3,34.9,3.2,"Tube","Clear",,,,,,
1200043,"ATI2M044.38","Acrylic Tube","Tube Extruded",1,1,35.14,,,,,,12,35.14,,,"Tube","Each",,,,2000,44.5,38.1,3.2,"Tube","Clear",,,,,,
1200044,"ATI2M050.44","Acrylic Tube","Tube Extruded",1,1,43.47,,,,,,12,43.47,,,"Tube","Each",,,,2000,50.8,44.5,3.2,"Tube","Clear",,,,,,
1200045,"ATI2M057.50","Acrylic Tube","Tube Extruded",1,1,43.36,,,,,,12,43.36,,,"Tube","Each",,,,2000,57.2,50.8,3.2,"Tube","Clear",,,,,,
1200046,"ATI2M063.57","Acrylic Tube","Tube Extruded",1,1,52.7,,,,,,12,52.7,,,"Tube","Each",,,,2000,63.5,57.2,3.2,"Tube","Clear",,,,,,
1200047,"ATI2M069.63","Acrylic Tube","Tube Extruded",1,1,56.52,,,,,,12,56.52,,,"Tube","Each",,,,2000,69.9,63.5,3.2,"Tube","Clear",,,,,,
1200048,"ATI2M076.69","Acrylic Tube","Tube Extruded",1,1,65.28,,,,,,12,65.28,,,"Tube","Each",,,,2000,76.2,69.9,3.2,"Tube","Clear",,,,,,
1200049,"ATI2M082.76","Acrylic Tube","Tube Extruded",1,1,68.48,,,,,,12,68.48,,,"Tube","Each",,,,2000,82.6,76.2,3.2,"Tube","Clear",,,,,,
1200050,"ATI2M088.82","Acrylic Tube","Tube Extruded",1,1,70.24,,,,,,12,70.24,,,"Tube","Each",,,,2000,88.9,82.6,3.2,"Tube","Clear",,,,,,
1200051,"ATI2M101.95","Acrylic Tube","Tube Extruded",1,1,72.2,,,,,,12,72.2,,,"Tube","Each",,,,2000,101.6,95.3,3.2,"Tube","Clear",,,,,,
1200052,"ATI2M114.108","Acrylic Tube","Tube Extruded",1,1,100.98,,,,,,12,100.98,,,"Tube","Each",,,,2000,114.3,108,3.2,"Tube","Clear",,,,,,
1200053,"ATI2M127.120","Acrylic Tube","Tube Extruded",1,1,130.5,,,,,,12,130.5,,,"Tube","Each",,,,2000,127,120.7,3.2,"Tube","Clear",,,,,,
1200054,"ATI2M152.146","Acrylic Tube","Tube Extruded",1,1,176.18,,,,,,12,176.18,,,"Tube","Each",,,,2000,152.4,146.1,3.2,"Tube","Clear",,,,,,
1200055,"ATI 064.51","Acrylic Tube","Tube Extruded",1,1,143.22,,,,,,12,143.22,,,"Tube","Each",,,,2000,63.5,50.8,6.3,"Tube","Clear",,,,,,
1200056,"ATI2M038.28.5","Acrylic Tube","Tube Extruded",1,1,32,,,,,,12,32,,,"Tube","Each",,,,2000,38,28.5,4.8,"Tube","Clear",,,,,,
1200057,"ATM005.3","Acrylic Tube","Tube Extruded",1,1,6.18,,,,,,12,6.18,,,"Tube","Each",,,12.4,2000,5,3,1,"Tube","Clear",,,,,,
1200058,"ATM006.3","Acrylic Tube","Tube Extruded",1,1,7.41,,,,,,12,7.41,,,"Tube","Each",,,14.8,2000,6,3.5,1.3,"Tube","Clear",,,,,,
