"APE code","Barcode"," 4L'","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
3200090,,"Egg Crate (Louvre) Silver - 1200x600x8T ","Diffusers-Prismatic",1,1,26.1,,,,,,32,26.1,,,"Sheet","Each",,,52.2,1200,600,8,,"Sheet","na ",,,,,,
3200022,,"MDF - 2400x1200x16T ","MDF",1,1,37.57,,,,,,32,,,,"Sheet","Each",,,63.87,2400,1200,16,,"Sheet","na ",,,,,,
3200068,,"'Acri-Bond Adhesive #110  100mlube'","Adhesive",,1,132,,,,,,32,32,,,"Each","Each",,,,64,,,,"Each","na ",,,,,,
3200157,,"MDF - 3600x1200x9T ","MDF",1,1,37.63,,,,,,32,,,,"Sheet","Each",,,75.26,3600,1200,9,,"Sheet","na ",,,,,,
3200023,,"MDF - 2400x1200x18T ","MDF",1,1,47.9,,,,,,32,,,,"Sheet","Each",,,81.43,2400,1200,18,,"Sheet","na ",,,,,,
3200096,,"Flex Fold Hinge - 1530x25 ","DISPLAY",1,1,51.8,,,,,,32,51.8,,,"Each","Each",,,103.6,1530,25,,,"Each","na ",,,,,,
3200024,,"MDF - 2400x1200x25T ","MDF",1,1,67.9,,,,,,32,,,,"Sheet","Each",,,115.43,2400,1200,25,,"Sheet","na ",,,,,,
3200026,,"MDF - 3600x1200x12T ","MDF",1,1,70.74,,,,,,32,,,,"Sheet","Each",,,120.26,3600,1200,12,,"Sheet","na ",,,,,,
3200029,,"MDF - 3600x1800x12T ","MDF",1,1,70.74,,,,,,32,,,,"Sheet","Each",,,120.26,3600,1800,12,,"Sheet","na ",,,,,,
3200070,,"'Acri-Bond Adhesive #110  500ml'","Adhesive",,1,172,,,,,,32,22,,,"Each","Each",,,,144,,,,"Each","na ",,,,,,
3200095,,"Flex Fold Hinge - 1220x35 ","DISPLAY",1,1,74.6,,,,,,32,74.6,,,"Each","Each",,,149.2,1220,35,,,"Each","na ",,,,,,
3200027,,"MDF - 3600x1200x16T ","MDF",1,1,90.01,,,,,,32,,,,"Sheet","Each",,,153.02,3600,1200,16,,"Sheet","na ",,,,,,
3200030,,"MDF - 3600x1800x16T ","MDF",1,1,90.01,,,,,,32,,,,"Sheet","Each",,,153.02,3600,1800,16,,"Sheet","na ",,,,,,
3200074,,"'Acri-Bond Adhesive #125  500ml'","Adhesive",1,1,178,,,,,,32,78,,,"Each","Each",,,,156,,,,"Each","na ",,,,,,
3200025,,"MDF - 2400x1200x32T ","MDF",1,1,95.45,,,,,,32,,,,"Sheet","Each",,,162.27,2400,1200,32,,"Sheet","na ",,,,,,
3200028,,"MDF - 3600x1200x18T ","MDF",1,1,102.77,,,,,,32,,,,"Sheet","Each",,,174.71,3600,1200,18,,"Sheet","na ",,,,,,
3200031,,"MDF - 3600x1800x18T ","MDF",1,1,102.77,,,,,,32,,,,"Sheet","Each",,,174.71,3600,1800,18,,"Sheet","na ",,,,,,
